ticket_id,body,human_billing,human_account,human_performance,human_security,human_bug,human_feature,human_network,human_hardware,human_software
12844,"Facing connectivity problems across several devices and applications, which is impacting project management tasks. It might be due to recent software updates or configuration changes. Despite restarting the devices and checking network settings, the issue still exists.",,,,,,,negative,,negative
14164,"An alert for unauthorized access has been triggered in the hospital's network, which may have jeopardized the security of medical data due to vulnerabilities in the network devices.",,,,negative,,,negative,,
20635,"To customer support, I am contacting you to report a recently discovered medical data breach that might be linked to a vulnerability in an outdated Git version. I've updated the firewall to mitigate further breaches. However, I require your support to fully address this issue and secure our medical information. Kindly inform me of the necessary actions. I value your swift response to this situation. Thank you for your assistance and cooperation.",,,,negative,,,,,negative
728,"The Screen Recorder has been failing intermittently, which might be related to server overload. After restarting the application, the problem still persists. I would appreciate it if you could look into this matter and provide a solution as soon as possible. Please inform me if there is any additional information needed to resolve the issue.",,,negative,,,,,,negative
21731,"There has been a detection of a medical data leak in our Elasticsearch database. It might be due to insufficient access controls and outdated software. Steps taken include restarting the server, reviewing the firewall settings, and updating Windows.",,,,negative,,,,,negative
12002,There was an attempt at a data breach on the systems. The issue might be due to outdated security software. Attempts to update McAfee for securing device access were unsuccessful.,,,,negative,,,,,negative
13963,"Dear Customer Support, I hope this message finds you well. I am reaching out to report an issue that has arisen with recent updates. Specifically, several integrations between Adobe Illustrator CC 2021 and Shopware are failing, and I suspect this might be due to compatibility issues. Despite my attempts to revert the updates and restart the application, the problems continue to persist. These failed integrations are causing significant disruptions to my workflow. I would greatly appreciate any assistance you can provide to resolve this matter and guide me through the necessary steps. If you require any additional information, please do not hesitate to ask. Thank you in advance for your help.",,,,,,negative,,,negative
5652,"I am seeking detailed instructions for integrating the Smart-Rauchmelder Notion into a scalable SaaS project management platform. I am interested in learning about the tools used together to streamline workflows and enhance productivity. Could you please provide a step-by-step guide on how to perform the integration, along with any additional resources or support options available? Your guidance on this matter would be greatly appreciated. Thank you for your time and assistance. I look forward to your prompt response.",,,,,,neutral,,,
23613,"Dear Customer Support Team, I am writing to report a critical issue I have encountered with the IntelliJ IDEA 2024.1, which is significantly impacting my project timeline. This matter is quite urgent as it is affecting our ability to complete a key deliverable on schedule. The issue began earlier this week when I attempted to complete some coding tasks in the IDE. Specifically, I am experiencing recurrent 'completion' errors that prevent the system from auto-suggesting code across various programming languages, which is a feature I rely heavily upon for efficient coding. Such a malfunction disrupts the coding routine and leads to increased time for tasks that would normally be streamlined through the use of IntelliJ IDEA's sophisticated development tools. Given the critical nature of this problem, as my project requires prompt and precise coding among team members, any delay caused due to manual coding processes could lead to missing the project deadlines. It's pressing to have this fixed to avoid significant impact on deliverables, which would further affect client relations and business standing. I have already checked for updates and verified that my IntelliJ IDEA installation is up to date. I also attempted to use 'Invalidate Caches/Restart', restarted the software, and even rebooted my computer to resolve the issue but to no avail. Additionally, all plugins used are compatible with the current version as per their documentation. However, no immediate relief has been obtained through these initial troubleshooting steps. I request urgent assistance from your technical support team to identify and resolve this issue. Please let me know if any additional information is required or if there's any particular error logs that you need me to send through. I am available for a remote session at a time convenient to the support staff to expedite the resolution of this problem. This problem is significantly slowing down our progress. An efficient IDE like IntelliJ is integral to our work processes, hence it is crucial to address the disruption swiftly. Thank you for your prompt attention to this matter. I look forward to your immediate response at your earliest convenience. Best regards, <name> <tel_num> <name> from XYZ Tech <tel_num> <email_address>",,,,,negative,,,,negative
13771,I need guidance on securing medical data using Notion in our hospital IT practices. Could you provide some practices and let me know a suitable time to call at <tel_num> for a detailed discussion on securing sensitive information in our current setup?,,,,neutral,,,,,
